Date,Price,Log Price
2010-11-09,0.217272694330801,-0.662994850055894
2010-11-10,0.229549731151373,-0.639123211543325
2010-11-11,0.2231,-0.651500429716162
2010-11-12,0.2682,-0.57154122648442
2010-11-13,0.276,-0.559090917934782
2010-11-14,0.27904,-0.554333536747527
2010-11-15,0.268464555815313,-0.571113044154106
2010-11-16,0.225,-0.647817481888638
2010-11-17,0.241939333722969,-0.616293519690372
2010-11-18,0.269057790765634,-0.570154428120225
2010-11-19,0.27829,-0.555502399209785
2010-11-20,0.283015964932788,-0.548189065229592
2010-11-21,0.27675,-0.55791237044924
2010-11-22,0.285,-0.54515513999149
2010-11-23,0.28295,-0.548290301728653
2010-11-24,0.282905736411455,-0.548358246369156
2010-11-25,0.28,-0.552841968657781
2010-11-26,0.2844,-0.546070407942271
2010-11-27,0.283,-0.54821356447571
2010-11-28,0.271358679135009,-0.56645628338923
2010-11-29,0.230559456458212,-0.637217060374107
2010-11-30,0.2082,-0.681519274825483
2010-12-01,0.2275,-0.643018599006869
2010-12-02,0.255,-0.593459819566045
2010-12-03,0.251060083576856,-0.600222330936353
2010-12-04,0.205000526008182,-0.688245024592256
2010-12-05,0.202850017533606,-0.692824950420843
2010-12-06,0.204,-0.690369832574101
2010-12-07,0.233420385739334,-0.631861217581629
2010-12-08,0.2388,-0.621965677542669
2010-12-09,0.199991694330801,-0.69898804024203
2010-12-10,0.204,-0.690369832574101
2010-12-11,0.228,-0.642065152999546
2010-12-12,0.219853611922852,-0.657866395064615
2010-12-13,0.227605236703682,-0.642817749986328
2010-12-14,0.24669,-0.607848455021177
2010-12-15,0.24,-0.619788758288394
2010-12-16,0.24996,-0.602129484004629
2010-12-17,0.242655815312683,-0.615009296238472
2010-12-18,0.241,-0.617982957425132
2010-12-19,0.2401,-0.619607839942973
2010-12-20,0.267,-0.573488738635425
2010-12-21,0.241436002337814,-0.617197968493773
2010-12-22,0.25,-0.602059991327962
2010-12-23,0.249970127995324,-0.602111887415681
2010-12-24,0.248,-0.605548319173784
2010-12-25,0.2499,-0.60223374387355
2010-12-26,0.264962127410871,-0.576816197881729
2010-12-27,0.264785388661601,-0.577105983729008
2010-12-28,0.281,-0.55129368009492
2010-12-29,0.3,-0.522878745280338
2010-12-30,0.3,-0.522878745280338
2010-12-31,0.3,-0.522878745280338
2011-01-01,0.3,-0.522878745280338
2011-01-02,0.29997,-0.522922176900145
2011-01-03,0.295,-0.530177984021837
2011-01-04,0.29895,-0.524401442243831
2011-01-05,0.298916302162478,-0.524450398958235
2011-01-06,0.298,-0.525783735923745
2011-01-07,0.32,-0.494850021680094
2011-01-08,0.3229,-0.490931954982838
2011-01-09,0.323,-0.490797477668897
2011-01-10,0.32659,-0.48599711724573
2011-01-11,0.32659,-0.48599711724573
2011-01-12,0.318799621274109,-0.496482203206485
2011-01-13,0.3176,-0.498119506244941
2011-01-14,0.399990005844535,-0.397950859824023
2011-01-15,0.386,-0.413412695328245
2011-01-16,0.38679,-0.412524762616335
2011-01-17,0.3495,-0.4565528199183
2011-01-18,0.31299,-0.504469537898269
2011-01-19,0.31299,-0.504469537898269
2011-01-20,0.39,-0.408935392973501
2011-01-21,0.41991,-0.376843782677836
2011-01-22,0.44003552893045,-0.356512256705841
2011-01-23,0.4424,-0.354184881703358
2011-01-24,0.4199,-0.37685412536206
2011-01-25,0.41,-0.387216143280265
2011-01-26,0.415085129748685,-0.381862824761129
2011-01-27,0.4212,-0.375511637486551
2011-01-28,0.444484044418469,-0.352143824222193
